onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
102.975240	2.816776	dec_dg-prop_pmod_choice	2.816776	21	n/a	17	-2.045413e-01
116.525020	1.033659	dec_dg-prop_pmod_choice	1.033659	21	n/a	17	-2.045413e-01
129.575120	1.633536	dec_dg-prop_pmod_choice	1.633536	15	n/a	12	-1.950175e-01
137.625030	1.816594	dec_ug-resp_pmod_accept	1.816594	25	n/a	14	1.616053e-01
137.625030	1.816594	dec_ug-resp_pmod_option_presented	1.816594	25	n/a	14	1.616053e-01
137.625030	1.816594	dec_ug-resp_pmod_choice	1.816594	25	n/a	14	1.616053e-01
145.674850	1.750601	dec_ug-resp_pmod_accept	1.750601	25	n/a	17	4.160532e-02
145.674850	1.750601	dec_ug-resp_pmod_option_presented	1.750601	25	n/a	17	4.160532e-02
145.674850	1.750601	dec_ug-resp_pmod_choice	1.750601	25	n/a	17	4.160532e-02
153.724960	1.100379	dec_ug-resp_pmod_accept	1.100379	23	n/a	16	2.595314e-02
153.724960	1.100379	dec_ug-resp_pmod_option_presented	1.100379	23	n/a	16	2.595314e-02
153.724960	1.100379	dec_ug-resp_pmod_choice	1.100379	23	n/a	16	2.595314e-02
170.274960	2.150155	dec_dg-prop_pmod_choice	2.150155	19	n/a	10	7.866674e-02
180.325030	1.216751	dec_ug-resp_pmod_accept	1.216751	15	n/a	8	1.882720e-01
180.325030	1.216751	dec_ug-resp_pmod_option_presented	1.216751	15	n/a	8	1.882720e-01
180.325030	1.216751	dec_ug-resp_pmod_choice	1.216751	15	n/a	8	1.882720e-01
188.374880	1.866415	dec_ug-prop_pmod_choice	1.866415	19	n/a	10	1.753246e-01
203.424870	2.433410	dec_ug-prop_pmod_choice	2.433410	15	n/a	8	1.683070e-01
212.974750	2.200194	dec_ug-resp_pmod_accept	2.200194	19	n/a	13	3.739479e-02
212.974750	2.200194	dec_ug-resp_pmod_option_presented	2.200194	19	n/a	13	3.739479e-02
212.974750	2.200194	dec_ug-resp_pmod_choice	2.200194	19	n/a	13	3.739479e-02
224.024570	4.000000	missed_trial	n/a	25	n/a	n/a	n/a
236.091320	1.333246	dec_dg-prop_pmod_choice	1.333246	21	n/a	12	3.355396e-02
247.141110	1.083397	dec_dg-prop_pmod_choice	1.083397	17	n/a	12	-1.008998e-01
258.691070	1.016740	dec_ug-prop_pmod_choice	1.016740	21	n/a	12	1.302118e-01
266.741120	1.633629	dec_ug-resp_pmod_accept	1.633629	15	n/a	8	1.882720e-01
266.741120	1.633629	dec_ug-resp_pmod_option_presented	1.633629	15	n/a	8	1.882720e-01
266.741120	1.633629	dec_ug-resp_pmod_choice	1.633629	15	n/a	8	1.882720e-01
274.790920	1.000310	dec_ug-prop_pmod_choice	1.000310	23	n/a	13	1.364230e-01
284.840970	1.500305	dec_ug-prop_pmod_choice	1.500305	23	n/a	16	5.988180e-03
292.891140	1.316713	dec_ug-prop_pmod_choice	1.316713	15	n/a	12	-9.835965e-02
304.440730	1.016608	dec_dg-prop_pmod_choice	1.016608	15	n/a	10	-6.168413e-02
317.491460	1.433156	dec_ug-prop_pmod_choice	1.433156	17	n/a	12	-4.241999e-03
327.040860	2.366529	dec_ug-resp_pmod_accept	2.366529	15	n/a	12	-7.839468e-02
327.040860	2.366529	dec_ug-resp_pmod_option_presented	2.366529	15	n/a	12	-7.839468e-02
327.040860	2.366529	dec_ug-resp_pmod_choice	2.366529	15	n/a	12	-7.839468e-02
338.591430	4.000000	missed_trial	n/a	17	n/a	n/a	n/a
346.657530	1.199988	dec_dg-prop_pmod_choice	1.199988	23	n/a	13	3.976514e-02
356.207340	1.250250	dec_dg-prop_pmod_choice	1.250250	25	n/a	17	-7.501747e-02
366.257500	1.300040	dec_ug-resp_pmod_reject	1.300040	21	n/a	0	-2.307756e-01
366.257500	1.300040	dec_ug-resp_pmod_option_presented	1.300040	21	n/a	0	-2.307756e-01
366.257500	1.300040	dec_ug-resp_pmod_choice	1.300040	21	n/a	0	-2.783947e-01
379.307130	0.900326	dec_ug-prop_pmod_choice	0.900326	15	n/a	8	1.683070e-01
