onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
4.992996	2	cue_dict_pmod	n/a	17	-2	n/a	n/a
18.542967	2	cue_ug-resp_pmod	n/a	19	-1	n/a	n/a
29.592703	2	cue_dict_pmod	n/a	15	-4	n/a	n/a
44.642838	2	cue_dict_pmod	n/a	17	-2	n/a	n/a
54.692616	2	cue_ug-resp_pmod	n/a	23	4	n/a	n/a
62.742744	2	cue_ug-resp_pmod	n/a	15	-5	n/a	n/a
72.292786	2	cue_ug-prop_pmod	n/a	25	5	n/a	n/a
84.342636	2	cue_dict_pmod	n/a	25	7	n/a	n/a
92.392650	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
100.442620	2	cue_ug-resp_pmod	n/a	21	2	n/a	n/a
112.492546	2	cue_ug-resp_pmod	n/a	21	2	n/a	n/a
124.042450	2	cue_ug-resp_pmod	n/a	15	-5	n/a	n/a
135.092480	2	cue_ug-prop_pmod	n/a	25	5	n/a	n/a
143.142470	2	cue_ug-prop_pmod	n/a	25	5	n/a	n/a
151.192490	2	cue_ug-prop_pmod	n/a	23	3	n/a	n/a
166.242460	2	cue_ug-resp_pmod	n/a	19	-1	n/a	n/a
177.792560	2	cue_ug-prop_pmod	n/a	15	-6	n/a	n/a
185.842350	2	cue_dict_pmod	n/a	19	1	n/a	n/a
200.892120	2	cue_dict_pmod	n/a	15	-4	n/a	n/a
208.942300	2	cue_ug-prop_pmod	n/a	19	-2	n/a	n/a
218.492030	2	cue_ug-prop_pmod	n/a	25	5	n/a	n/a
233.558850	2	cue_ug-resp_pmod	n/a	21	2	n/a	n/a
241.608730	2	cue_ug-resp_pmod	n/a	17	-3	n/a	n/a
254.659000	2	cue_dict_pmod	n/a	21	3	n/a	n/a
264.208500	2	cue_ug-prop_pmod	n/a	15	-6	n/a	n/a
272.258700	2	cue_dict_pmod	n/a	23	5	n/a	n/a
282.308720	2	cue_dict_pmod	n/a	23	5	n/a	n/a
290.358500	2	cue_dict_pmod	n/a	15	-4	n/a	n/a
300.408360	2	cue_ug-resp_pmod	n/a	15	-5	n/a	n/a
311.958370	2	cue_dict_pmod	n/a	17	-2	n/a	n/a
323.008360	2	cue_ug-prop_pmod	n/a	15	-6	n/a	n/a
334.558300	2	cue_ug-prop_pmod	n/a	17	-4	n/a	n/a
344.125000	2	cue_ug-resp_pmod	n/a	23	4	n/a	n/a
352.175000	2	cue_ug-resp_pmod	n/a	25	6	n/a	n/a
363.724980	2	cue_ug-prop_pmod	n/a	21	1	n/a	n/a
373.774930	2	cue_dict_pmod	n/a	15	-4	n/a	n/a
9.025838	0.983170	dec_ug-prop_pmod_choice	0.983170	17	n/a	12	-4.241999e-03
24.075418	1.184331	dec_dg-prop_pmod_choice	1.184331	19	n/a	15	-1.844912e-01
32.125267	1.700362	dec_ug-prop_pmod_choice	1.700362	15	n/a	8	1.683070e-01
47.175343	1.366715	dec_ug-prop_pmod_choice	1.366715	17	n/a	9	1.722286e-01
57.225240	1.016932	dec_dg-prop_pmod_choice	1.016932	23	n/a	16	-9.066964e-02
66.775210	1.533577	dec_dg-prop_pmod_choice	1.533577	15	n/a	12	-1.950175e-01
74.824905	2.500442	dec_ug-resp_pmod_accept	2.500442	25	n/a	23	-1.983947e-01
74.824905	2.500442	dec_ug-resp_pmod_option_presented	2.500442	25	n/a	23	-1.983947e-01
74.824905	2.500442	dec_ug-resp_pmod_choice	2.500442	25	n/a	23	-1.983947e-01
86.875300	2.499845	dec_ug-prop_pmod_choice	2.499845	25	n/a	14	1.416404e-01
94.925130	1.366876	dec_ug-resp_pmod_accept	1.366876	21	n/a	17	-8.791849e-02
94.925130	1.366876	dec_ug-resp_pmod_option_presented	1.366876	21	n/a	17	-8.791849e-02
94.925130	1.366876	dec_ug-resp_pmod_choice	1.366876	21	n/a	17	-8.791849e-02
