onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
92.922264	1.083684	dec_ug-resp_pmod_option_presented	1.083684	23	n/a	0	-2.389089e-01
92.922264	1.083684	dec_ug-resp_pmod_choice	1.083684	23	n/a	0	-2.823871e-01
106.472310	1.733244	dec_ug-prop_pmod_choice	1.733244	21	n/a	12	1.517145e-01
119.522030	1.250303	dec_ug-resp_pmod_accept	1.250303	21	n/a	14	5.094621e-02
119.522030	1.250303	dec_ug-resp_pmod_option_presented	1.250303	21	n/a	14	5.094621e-02
119.522030	1.250303	dec_ug-resp_pmod_choice	1.250303	21	n/a	14	5.094621e-02
129.572050	1.933374	dec_dg-prop_pmod_choice	1.933374	15	n/a	8	7.690009e-02
140.622060	1.650284	dec_dg-prop_pmod_choice	1.650284	23	n/a	16	-8.541875e-02
150.671880	1.199286	dec_ug-prop_pmod_choice	1.199286	25	n/a	17	4.314311e-02
158.721980	1.199827	dec_dg-prop_pmod_choice	1.199827	17	n/a	14	-2.132960e-01
166.772000	1.350141	dec_dg-prop_pmod_choice	1.350141	19	n/a	15	-1.792403e-01
174.822040	1.200049	dec_ug-resp_pmod_accept	1.200049	15	n/a	8	1.842795e-01
174.822040	1.200049	dec_ug-resp_pmod_option_presented	1.200049	15	n/a	8	1.842795e-01
174.822040	1.200049	dec_ug-resp_pmod_choice	1.200049	15	n/a	8	1.842795e-01
186.371800	1.817008	dec_ug-resp_pmod_accept	1.817008	15	n/a	8	1.842795e-01
186.371800	1.817008	dec_ug-resp_pmod_option_presented	1.817008	15	n/a	8	1.842795e-01
186.371800	1.817008	dec_ug-resp_pmod_choice	1.817008	15	n/a	8	1.842795e-01
201.421810	1.183562	dec_ug-resp_pmod_accept	1.183562	19	n/a	13	3.340235e-02
201.421810	1.183562	dec_ug-resp_pmod_option_presented	1.183562	19	n/a	13	3.340235e-02
201.421810	1.183562	dec_ug-resp_pmod_choice	1.183562	19	n/a	13	3.340235e-02
211.471770	1.750168	dec_ug-resp_pmod_accept	1.750168	19	n/a	10	1.912971e-01
211.471770	1.750168	dec_ug-resp_pmod_option_presented	1.750168	19	n/a	10	1.912971e-01
211.471770	1.750168	dec_ug-resp_pmod_choice	1.750168	19	n/a	10	1.912971e-01
222.521760	1.116378	dec_ug-prop_pmod_choice	1.116378	25	n/a	14	1.631431e-01
232.071730	1.183075	dec_ug-resp_pmod_accept	1.183075	23	n/a	13	1.523955e-01
232.071730	1.183075	dec_ug-resp_pmod_option_presented	1.183075	23	n/a	13	1.523955e-01
232.071730	1.183075	dec_ug-resp_pmod_choice	1.183075	23	n/a	13	1.523955e-01
245.621670	1.350058	dec_ug-prop_pmod_choice	1.350058	15	n/a	12	-7.685689e-02
255.671650	1.550123	dec_ug-resp_pmod_accept	1.550123	21	n/a	14	5.094621e-02
255.671650	1.550123	dec_ug-resp_pmod_option_presented	1.550123	21	n/a	14	5.094621e-02
255.671650	1.550123	dec_ug-resp_pmod_choice	1.550123	21	n/a	14	5.094621e-02
263.721650	1.383391	dec_ug-prop_pmod_choice	1.383391	15	n/a	8	1.898098e-01
278.771550	1.499864	dec_dg-prop_pmod_choice	1.499864	23	n/a	19	-2.158535e-01
293.821560	2.516711	dec_ug-resp_pmod_accept	2.516711	25	n/a	20	-8.238713e-02
293.821560	2.516711	dec_ug-resp_pmod_option_presented	2.516711	25	n/a	20	-8.238713e-02
293.821560	2.516711	dec_ug-resp_pmod_choice	2.516711	25	n/a	20	-8.238713e-02
301.871340	1.267002	dec_ug-prop_pmod_choice	1.267002	25	n/a	17	4.314311e-02
309.922000	1.799542	dec_ug-resp_pmod_accept	1.799542	21	n/a	17	-9.191094e-02
309.922000	1.799542	dec_ug-resp_pmod_option_presented	1.799542	21	n/a	17	-9.191094e-02
309.922000	1.799542	dec_ug-resp_pmod_choice	1.799542	21	n/a	17	-9.191094e-02
321.971100	1.117155	dec_ug-prop_pmod_choice	1.117155	15	n/a	8	1.898098e-01
333.021420	2.583491	dec_dg-prop_pmod_choice	2.583491	21	n/a	17	-1.992904e-01
342.571260	1.433644	dec_ug-prop_pmod_choice	1.433644	17	n/a	9	1.937313e-01
352.621340	0.916465	dec_ug-prop_pmod_choice	0.916465	15	n/a	8	1.898098e-01
363.671170	1.600202	dec_dg-prop_pmod_choice	1.600202	17	n/a	12	-9.564893e-02
373.221200	1.000237	dec_ug-prop_pmod_choice	1.000237	17	n/a	12	1.726076e-02
383.270970	1.483769	dec_ug-prop_pmod_choice	1.483769	17	n/a	9	1.937313e-01
