onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod
4.989723	2	cue_ug-resp_pmod	n/a	25	6	n/a	n/a
14.540212	2	cue_ug-prop_pmod	n/a	23	2	n/a	n/a
22.590048	2	cue_ug-resp_pmod	n/a	19	0	n/a	n/a
30.639780	2	cue_ug-resp_pmod	n/a	15	-4	n/a	n/a
44.189830	2	cue_ug-prop_pmod	n/a	25	4	n/a	n/a
52.240032	2	cue_ug-resp_pmod	n/a	15	-4	n/a	n/a
62.289852	2	cue_ug-resp_pmod	n/a	21	2	n/a	n/a
78.839930	2	cue_dict_pmod	n/a	15	-4	n/a	n/a
88.889470	2	cue_ug-prop_pmod	n/a	23	2	n/a	n/a
102.439674	2	cue_dict_pmod	n/a	21	3	n/a	n/a
113.989555	2	cue_ug-prop_pmod	n/a	21	0	n/a	n/a
127.039680	2	cue_ug-resp_pmod	n/a	15	-4	n/a	n/a
135.089220	2	cue_ug-resp_pmod	n/a	23	4	n/a	n/a
148.138260	2	cue_dict_pmod	n/a	25	7	n/a	n/a
156.189200	2	cue_ug-resp_pmod	n/a	17	-2	n/a	n/a
164.239350	2	cue_ug-resp_pmod	n/a	19	0	n/a	n/a
172.289440	2	cue_ug-prop_pmod	n/a	15	-6	n/a	n/a
182.339220	2	cue_ug-prop_pmod	n/a	15	-6	n/a	n/a
198.889160	2	cue_ug-prop_pmod	n/a	19	-2	n/a	n/a
208.939200	2	cue_ug-prop_pmod	n/a	19	-2	n/a	n/a
216.989400	2	cue_dict_pmod	n/a	25	7	n/a	n/a
228.039230	2	cue_ug-prop_pmod	n/a	23	2	n/a	n/a
241.589110	2	cue_dict_pmod	n/a	15	-4	n/a	n/a
253.139000	2	cue_ug-prop_pmod	n/a	21	0	n/a	n/a
261.188840	2	cue_dict_pmod	n/a	15	-4	n/a	n/a
273.238900	2	cue_ug-resp_pmod	n/a	23	4	n/a	n/a
291.289000	2	cue_ug-prop_pmod	n/a	25	4	n/a	n/a
299.339020	2	cue_dict_pmod	n/a	25	7	n/a	n/a
307.389000	2	cue_ug-prop_pmod	n/a	21	0	n/a	n/a
319.438660	2	cue_dict_pmod	n/a	15	-4	n/a	n/a
327.488680	2	cue_ug-resp_pmod	n/a	21	2	n/a	n/a
338.538700	2	cue_dict_pmod	n/a	17	-2	n/a	n/a
350.088750	2	cue_dict_pmod	n/a	15	-4	n/a	n/a
358.138550	2	cue_ug-resp_pmod	n/a	17	-2	n/a	n/a
369.188780	2	cue_dict_pmod	n/a	17	-2	n/a	n/a
380.738620	2	cue_dict_pmod	n/a	17	-2	n/a	n/a
9.022771	1.133155	dec_dg-prop_pmod_choice	1.133155	25	n/a	20	-1.897666e-01
17.072468	1.900176	dec_ug-resp_pmod_accept	1.900176	23	n/a	19	-1.084741e-01
17.072468	1.900176	dec_ug-resp_pmod_option_presented	1.900176	23	n/a	19	-1.084741e-01
17.072468	1.900176	dec_ug-resp_pmod_choice	1.900176	23	n/a	19	-1.084741e-01
25.122648	1.766407	dec_dg-prop_pmod_choice	1.766407	19	n/a	15	-1.792403e-01
34.672405	1.767008	dec_dg-prop_pmod_choice	1.767008	15	n/a	12	-1.897666e-01
46.722458	1.083454	dec_ug-resp_pmod_reject	1.083454	25	n/a	0	-2.023871e-01
46.722458	1.083454	dec_ug-resp_pmod_option_presented	1.083454	25	n/a	0	-2.023871e-01
46.722458	1.083454	dec_ug-resp_pmod_choice	1.083454	25	n/a	0	-2.823871e-01
54.772396	1.533551	dec_dg-prop_pmod_choice	1.533551	15	n/a	8	7.690009e-02
66.322464	2.083472	dec_dg-prop_pmod_choice	2.083472	21	n/a	12	3.880486e-02
81.372270	1.466752	dec_ug-prop_pmod_choice	1.466752	15	n/a	10	5.647644e-02
92.922264	1.083684	dec_ug-resp_pmod_reject	1.083684	23	n/a	0	-2.389089e-01
