participant_id	ios_f
sub-1001.0	5.0
sub-1002.0	5.0
sub-1003.0	4.0
sub-1004.0	3.0
sub-1006.0	4.0
sub-1007.0	5.0
sub-1009.0	5.0
sub-1010.0	6.0
sub-1011.0	7.0
sub-1012.0	5.0
sub-1013.0	4.0
sub-1015.0	4.0
sub-1016.0	2.0
sub-1019.0	3.0
sub-1021.0	6.0
sub-1240.0	4.0
sub-1242.0	6.0
sub-1243.0	4.0
sub-1244.0	5.0
sub-1245.0	4.0
sub-1247.0	5.0
sub-1248.0	4.0
sub-1249.0	7.0
sub-1251.0	3.0
sub-1253.0	6.0
sub-1255.0	4.0
sub-1276.0	4.0
sub-1282.0	5.0
sub-1286.0	6.0
sub-1294.0	5.0
sub-1300.0	5.0
sub-1301.0	6.0
sub-1302.0	7.0
sub-1303.0	6.0
sub-3101.0	n/a
sub-3116.0	6.0
sub-3122.0	6.0
sub-3125.0	5.0
sub-3140.0	7.0
sub-3143.0	4.0
sub-3152.0	6.0
sub-3164.0	4.0
sub-3166.0	4.0
sub-3167.0	4.0
sub-3170.0	7.0
sub-3173.0	3.0
sub-3175.0	n/a
sub-3176.0	5.0
sub-3186.0	5.0
sub-3189.0	4.0
sub-3190.0	3.0
sub-3199.0	4.0
sub-3200.0	6.0
sub-3206.0	4.0
sub-3210.0	2.0
sub-3212.0	4.0
sub-3218.0	3.0
sub-3220.0	5.0
sub-3223.0	n/a
